cluster,taxonomy,count
191,SARS-CoV-2,78
192,Rhinovirus B,61
193,Rhinovirus B,76
194,Rhinovirus B,63
194,Rhinovirus A,14
195,Rhinovirus A,50
195,Rhinovirus B,31
195,HCoV-OC43,18
196,SARS-CoV-2,50
197,Rhinovirus B,85
198,Rhinovirus A,58
199,Rhinovirus B,63
199,Rhinovirus A,19
200,Rhinovirus A,120
201,Rhinovirus A,54
202,Rhinovirus B,56
203,Rhinovirus B,69
204,Rhinovirus B,69
205,Rhinovirus B,56
206,Rhinovirus A,175
207,Rhinovirus B,93
208,HCoV-229E,192
209,Rhinovirus B,70
210,Rhinovirus C,36
210,Rhinovirus A,18
211,Rhinovirus A,72
211,Rhinovirus C,2
211,Rhinovirus B,1
212,Rhinovirus B,62
213,Rhinovirus B,66
214,Rhinovirus B,166
214,Flu A PB1,1
215,HCoV-229E,90
216,Rhinovirus A,56
217,Rhinovirus A,64
218,Rhinovirus A,151
218,SARS-CoV-2,34
219,Rhinovirus B,97
220,Rhinovirus A,74
221,Rhinovirus A,96
222,Rhinovirus A,90
223,Rhinovirus B,44
223,Rhinovirus A,30
224,Rhinovirus B,205
225,Rhinovirus B,71
226,Rhinovirus B,74
227,Rhinovirus B,120
228,Rhinovirus A,473
229,Rhinovirus A,127
230,Rhinovirus A,82
231,Rhinovirus B,51
232,Rhinovirus B,42
232,Rhinovirus A,17
233,Rhinovirus B,83
234,HCoV-OC43,41
234,Rhinovirus B,37
235,SARS-CoV-2,75
235,Rhinovirus A,49
236,Rhinovirus B,92
236,HCoV-OC43,40
237,HCoV-229E,161
238,HCoV-229E,333
239,Rhinovirus A,109
240,Rhinovirus B,77
241,Rhinovirus B,65
241,HCoV-OC43,12
241,Rhinovirus A,8
242,Rhinovirus A,40
242,Rhinovirus B,10
243,SARS-CoV-2,104
244,Rhinovirus A,119
245,Rhinovirus B,114
246,Rhinovirus B,81
247,HCoV-OC43,39
247,Rhinovirus B,28
247,Rhinovirus A,6
248,HCoV-OC43,106
249,SARS-CoV-2,165
250,Rhinovirus B,52
251,Rhinovirus B,75
252,Rhinovirus B,64
253,Rhinovirus A,162
254,SARS-CoV-2,76
255,Rhinovirus B,98
256,Rhinovirus B,129
257,Rhinovirus A,98
258,HCoV-OC43,61
259,Rhinovirus A,54
260,Rhinovirus B,168
261,Rhinovirus B,100
262,Rhinovirus B,58
263,Rhinovirus A,199
264,Rhinovirus A,63
264,Flu A PB2,2
265,Rhinovirus A,53
265,SARS-CoV-2,24
266,Rhinovirus A,135
267,Rhinovirus A,111
268,Rhinovirus A,64
269,Rhinovirus A,170
270,HCoV-OC43,138
271,HCoV-OC43,56
272,Rhinovirus B,68
273,Rhinovirus B,52
274,Rhinovirus B,59
274,HCoV-OC43,11
275,SARS-CoV-2,53
276,SARS-CoV-2,94
277,Rhinovirus A,123
278,Rhinovirus B,104
279,SARS-CoV-2,71
280,SARS-CoV-2,74
281,Rhinovirus B,65
282,Rhinovirus B,97
283,Rhinovirus A,207
283,HCoV-OC43,51
283,Rhinovirus B,33
284,Rhinovirus A,52
285,Rhinovirus A,78
286,Rhinovirus A,64
286,HCoV-OC43,16
287,Rhinovirus A,46
287,Rhinovirus B,45
288,Rhinovirus A,108
289,Rhinovirus B,107
290,Rhinovirus A,145
291,Rhinovirus A,187
292,Rhinovirus B,93
293,Rhinovirus B,53
294,Rhinovirus B,50
295,Rhinovirus A,111
296,Rhinovirus A,170
297,HCoV-OC43,73
297,Rhinovirus C,34
297,Rhinovirus A,1
298,Rhinovirus A,68
299,SARS-CoV-2,214
299,Rhinovirus B,21
300,Rhinovirus A,141
301,HCoV-229E,76
302,HCoV-229E,72
303,Rhinovirus B,131
303,HCoV-OC43,18
304,Rhinovirus A,61
305,Rhinovirus B,65
306,Rhinovirus B,52
307,Rhinovirus A,249
308,Rhinovirus A,462
309,Rhinovirus C,582
310,Rhinovirus C,59
311,Rhinovirus B,86
311,SARS-CoV-2,21
311,Rhinovirus A,1
312,SARS-CoV-2,193
312,Rhinovirus B,36
313,Rhinovirus A,104
314,Rhinovirus A,66
315,Rhinovirus B,93
316,HCoV-OC43,65
317,Rhinovirus A,90
318,Rhinovirus A,107
319,Rhinovirus A,125
320,Rhinovirus A,188
321,Rhinovirus A,105
322,Rhinovirus A,62
323,Rhinovirus A,119
324,HCoV-OC43,61
325,Rhinovirus A,86
325,Rhinovirus B,36
325,SARS-CoV-2,35
326,HCoV-OC43,62
327,Rhinovirus A,166
328,Rhinovirus B,65
328,HCoV-OC43,33
329,Rhinovirus B,162
329,SARS-CoV-2,18
329,Rhinovirus A,12
330,Rhinovirus B,119
331,Rhinovirus A,117
331,HCoV-OC43,40
331,Rhinovirus B,21
332,Rhinovirus B,146
333,Rhinovirus A,127
334,Rhinovirus B,67
335,HCoV-OC43,72
336,Rhinovirus B,113
337,Rhinovirus B,70
338,Rhinovirus B,74
338,Rhinovirus A,38
339,Rhinovirus B,185
340,Rhinovirus B,189
341,Rhinovirus B,146
342,Rhinovirus A,33
342,Rhinovirus B,25
343,Rhinovirus B,102
343,HCoV-OC43,42
344,HCoV-OC43,46
344,Rhinovirus B,44
344,Rhinovirus A,23
345,Rhinovirus B,55
345,Rhinovirus A,40
345,HCoV-OC43,36
346,Rhinovirus A,55
347,Rhinovirus A,223
348,Rhinovirus B,150
349,Rhinovirus A,394
350,Rhinovirus A,124
350,Rhinovirus B,37
351,Rhinovirus B,58
352,Rhinovirus B,60
353,HCoV-OC43,39
353,Rhinovirus A,38
353,Rhinovirus C,1
354,Rhinovirus A,118
355,Rhinovirus A,147
355,Flu A PB1,1
356,Rhinovirus A,53
357,Rhinovirus A,66
358,Rhinovirus A,257
359,Rhinovirus B,35
359,Rhinovirus A,26
360,Rhinovirus A,88
361,Rhinovirus A,76
362,Rhinovirus A,35
362,SARS-CoV-2,28
363,Rhinovirus A,80
364,SARS-CoV-2,114
365,Rhinovirus B,102
366,Rhinovirus B,94
366,Rhinovirus A,39
367,Rhinovirus B,68
367,Rhinovirus A,33
367,HCoV-OC43,18
368,Rhinovirus B,65
369,Rhinovirus B,83
369,Flu A PA,5
370,HCoV-229E,191
371,Rhinovirus B,72
372,Rhinovirus A,82
373,Rhinovirus B,78
374,Rhinovirus B,116
375,Rhinovirus B,127
376,Rhinovirus A,50
377,Rhinovirus C,63
378,HCoV-OC43,90
379,HCoV-OC43,81
380,Rhinovirus B,80
381,Rhinovirus B,105
382,Rhinovirus B,92
383,Rhinovirus B,130
384,Rhinovirus B,70
385,Rhinovirus A,56
386,Rhinovirus A,77
387,Rhinovirus B,187
388,Rhinovirus C,64
388,Rhinovirus A,2
389,Rhinovirus C,51
389,Rhinovirus A,2
390,Rhinovirus C,352
391,Rhinovirus C,81
392,Rhinovirus A,91
393,Rhinovirus B,73
394,HCoV-OC43,153
395,SARS-CoV-2,51
396,Rhinovirus B,124
397,Rhinovirus C,142
398,SARS-CoV-2,73
399,Rhinovirus B,94
400,Rhinovirus A,302
401,Rhinovirus A,69
402,Rhinovirus A,104
403,Rhinovirus B,60
404,Rhinovirus A,80
405,Rhinovirus A,76
405,Rhinovirus B,53
405,HCoV-229E,43
406,Rhinovirus B,54
407,HCoV-OC43,110
408,Rhinovirus B,77
409,Rhinovirus B,91
410,SARS-CoV-2,51
411,SARS-CoV-2,87
412,Rhinovirus B,59
413,SARS-CoV-2,121
414,Rhinovirus B,43
414,Rhinovirus A,28
414,HCoV-OC43,21
415,Rhinovirus B,140
416,Rhinovirus A,73
416,Rhinovirus B,28
417,HCoV-OC43,166
418,Rhinovirus B,102
419,Rhinovirus A,70
420,Rhinovirus A,71
421,Rhinovirus B,73
422,Rhinovirus A,52
423,Rhinovirus A,72
424,Rhinovirus B,51
425,Rhinovirus B,62
426,Rhinovirus B,53
427,Rhinovirus B,90
427,Rhinovirus A,24
428,Rhinovirus B,61
429,Rhinovirus A,156
